Number,id_plot,province,latitude,longitude,altitude,aspect,MAT,MAP,Climate_change,slope,Forest_type,Forest_types,age,origin,origin_unsure,sucstage,area,Root_C_stock,lnRoot,Tree_C_stock,lnTree,Herb_layer_C_stock,lnHerb,Litter_layer_C_stock,lnLitter,Shrub_layer_C_stock,lnShrub,Woody_plant_C_stock,lnWoody,Total_aboveground_C_stock,lnabove,O_C_stock,lnOC,A_C_stock,lnAC,Total_soil_C_stock,lnTC,Total_belowground_C_stock,lnbelow,Total_forest_C_stock,lnTotalforest,AM_tree_C_stock,lnAM,EcM_tree_C_stock,lnEcM,C_stock_fraction_of_AM_tree,C_stock_fraction_of_EcM_tree,Ratio_of_AM_tree_C_to_EcM_tree_C,EcMrichness10,Amrichness10,species_richness10cm
918,SC292,SC,30.69985278,102.7280889,2247,NW,10.8,850,389.7848,6,Mixed_broadleaved_forest,Broadleaved_forest,38,natural,natural,late,600,5.754350399,1.74995616,52.8285341,3.967051463,0.015346635,-4.176859047,0.087525,-2.435830812,0.09147125,-2.391730564,53.0114766,3.97050843,47.27247284,3.855928157,42.90025694,3.758877815,17.78709291,2.878473077,60.68734985,4.105735272,66.44170025,4.196324875,113.7141731,4.733688046,7.147447426,1.96675529,44.80386222,3.802294346,11.32604066,70.99742539,0.159527484,4,1,4
568,JS5,JS,32.05713333,118.86565,60,SE,15.3,1011,466.91205,20,Mixed_broadleaved_coniferous_forest,Mixed_forest,64,natural,natural,late,1000,14.66638009,2.685557806,85.2402868,4.445474172,0.036833334,-3.301352029,0.159166667,-1.837803406,0.09175,-2.388687792,85.4237868,4.447624596,70.79424004,4.259777642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.38763649,3.792960973,40.85265033,3.709971699,52.07354192,47.92645808,1.086530155,3,2,5
773,SC147,SC,30.05758611,100.7773028,4100,NW,2.8,767,342.3923,21,Coniferous_forest,Coniferous_forest,76,natural,natural,middle,600,6.404385472,1.856982986,65.8756157,4.187768353,0.044854261,-3.104336689,0.246342595,-1.401032049,0.092134909,-2.384501374,66.05988552,4.190561687,59.70035431,4.089337955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.87561568,4.187768353,0,100,0,1,0,2
885,SC259,SC,28.69920833,104.0263806,1700,SE,11.3,1086,494.65055,5,Evergreen_broadleaved_forest,Broadleaved_forest,62,natural,natural,middle,1000,15.94659062,2.769245052,92.568359,4.527947388,0.1144975,-2.16720229,0.096898334,-2.334092953,0.092181667,-2.383994008,92.75272233,4.529937052,76.92062921,4.342774101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.46202655,4.471204717,5.106332475,1.630481431,94.48371719,5.516282808,17.1281496,3,6,6
368,HB3,HB,32.07996111,109.6719139,780,NW,13.8,951,438.4068,44,Broadleaved_deciduous_forest,Broadleaved_forest,65,natural,natural,early,600,11.19012774,2.415031938,75.24673585,4.320772525,0.057578334,-2.854608928,0.08963948,-2.411959431,0.092600125,-2.379464787,75.4319361,4.323230741,64.29938669,4.163550093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.00220489,4.304094889,1.244530943,0.218758706,98.34606654,1.653933461,59.46192444,1,13,14
371,HB6,HB,31.72767222,109.6404861,1510,NE,9.4,1236,558.3229,34,Broadleaved_deciduous_forest,Broadleaved_forest,71,natural,natural,middle,600,10.8014256,2.379678125,79.5379023,4.376233667,0.009526667,-4.65366036,0.276397859,-1.285913933,0.09270125,-2.378373322,79.7233048,4.37856195,68.93140586,4.233111892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.34070574,4.049010768,18.36391057,2.910387357,72.09230328,23.08825107,3.122467054,5,9,14
732,SC106,SC,30.87008333,100.3523083,3830,NW,3.5,673,301.83175,44,Coniferous_forest,Coniferous_forest,180,natural,natural,late,1000,34.31163036,3.535484374,207.4510408,5.334895364,0.027646248,-3.588265256,0.270674942,-1.306836654,0.093098122,-2.374101267,207.637237,5.335792504,173.3532529,5.155331437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178519735,-1.723056124,206.9533849,5.332493574,0.086053912,99.76010925,0.000862608,1,1,1
338,GZ102,GZ,28.34152778,107.9843333,1238,SE,13.3,1273,579.89805,15,Broadleaved_deciduous_forest,Broadleaved_forest,17,natural,natural,early,1000,6.551422522,1.879682205,57.04323955,4.043809569,0.108433334,-2.221619728,0.03475,-3.359575707,0.0932,-2.373007557,57.22963955,4.047071938,50.78665036,3.927633532,16.86484868,2.825231496,20.42894801,3.016952915,37.29379669,3.618827004,43.84521922,3.780665687,94.63186958,4.549994307,NA,NA,57.04323955,4.043809569,0,100,0,1,0,1
467,HB102,HB,31.06358333,110.9118889,1753,NW,9.3,1322,596.15755,45,Mixed_broadleaved_forest,Broadleaved_forest,131,natural,natural,late,1000,39.22996005,3.669440742,149.5609671,5.007704116,0.0571675,-2.861769724,0.366796344,-1.002948506,0.093336515,-2.371543876,149.7476401,5.008951478,110.5748476,4.705692646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.89106058,2.387942322,127.2849955,4.846428631,7.282020696,85.1057585,0.085564371,11,8,19
851,SC225,SC,30.88027222,100.8778306,3561,SW,6.5,655,297.91525,26,Evergreen_broadleaved_forest,Broadleaved_forest,76,natural,natural,middle,600,8.028551505,2.083004126,76.6283222,4.33896675,0.068125485,-2.686403907,0.523274436,-0.647649218,0.093560581,-2.369146127,76.81544336,4.341405705,68.85501734,4.232003096,36.79679099,3.60541064,31.01058313,3.434328538,67.80737412,4.216670952,75.83592563,4.328572133,144.690943,4.97460004,NA,NA,74.12096172,4.305698377,0,96.72789329,0,2,0,2
495,HB130,HB,31.49976389,113.0377472,178,NW,15.3,1003,463.38005,15,Broadleaved_deciduous_forest,Broadleaved_forest,24,natural,natural,middle,600,3.788557261,1.331985277,29.54945129,3.386065175,0.017592392,-4.040288743,0.08525,-2.462167163,0.093595415,-2.368773882,29.73664212,3.392380027,25.96567725,3.25677556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.261023649,0.231923811,28.064911,3.334520077,4.267502759,94.9760817,0.044932394,2,0,2
765,SC139,SC,30.42131389,99.48625556,4054,NE,3.8,567,255.4358,45,Coniferous_forest,Coniferous_forest,106,natural,natural,middle,1000,23.25100621,3.146348409,143.0196993,4.962982378,0.015563347,-4.162836681,0.812304647,-0.207879828,0.093657963,-2.368105824,143.2070152,4.964291242,119.9715723,4.787254817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.854763778,1.0489891,139.8628506,4.940662304,1.996063334,97.79271757,0.020411165,2,1,2
648,SC16,SC,30.80750556,105.6273306,345,NW,17,1002,465.2225,41,Coniferous_forest,Coniferous_forest,76,natural,natural,late,1000,21.95992929,3.089219397,68.77876635,4.230895069,0.067349319,-2.697862488,0.11324054,-2.17824105,0.094368881,-2.360543911,68.96750411,4.233635439,47.07492415,3.851740463,40.08916617,3.691106127,33.22680038,3.503356791,73.31596655,4.29477841,95.27589583,4.556776849,142.35082,4.958294574,68.77876635,4.230895069,NA,NA,100,0,NA,0,2,2
